@relation Duel

@attribute OffDataSize numeric
@attribute DefDataSize numeric
@attribute OffDataValue numeric
@attribute DefDataValue numeric
@attribute AvgAltitude numeric
@attribute MinAltitude numeric
@attribute MaxAltitude numeric
@attribute CurrentAltitude numeric
@attribute FovValue numeric
@attribute LastAction {hunt,retreat,explore_off,explore_def,follow,shoot,idle}
@attribute Life numeric
@attribute ImpactProba numeric
@attribute res {DEFEAT,VICTORY}

@data
0,1,0.0,29459.293,-116234.21,-118.24657,-118.245575,-118.24576,24999.996,follow,2,0.70933396,?
0,1,0.0,29459.293,-121978.63,-121.98062,-121.96898,-121.98014,24999.98,follow,2,0.7074264,?
0,1,0.0,29459.293,-123032.02,-135.4799,-120.72146,-123.63962,18091.512,follow,2,0.6790983,?
0,1,0.0,29459.293,-120994.76,-125.54217,-123.070496,-123.0709,24980.617,follow,2,0.6942933,?
0,1,0.0,29459.293,-121821.875,-123.80244,-123.801445,-123.801735,24999.998,follow,2,0.6818133,?
0,1,0.0,29459.293,-123132.68,-123.134,-123.12707,-123.13204,24999.979,follow,2,0.68427885,?
0,1,0.0,29459.293,-121677.21,-125.840034,-123.82714,-123.904686,24974.615,follow,2,0.684619,?
0,1,0.0,29459.293,-122285.19,-124.27436,-124.273926,-124.27418,25000.0,follow,2,0.671758,?
0,1,0.0,29459.293,-122460.23,-124.451096,-124.45029,-124.450485,24999.996,follow,2,0.6754819,?
0,1,0.0,29459.293,-113335.414,-113.56406,-113.56264,-113.56288,24999.996,follow,2,0.0,?
0,1,0.0,29459.293,-122771.22,-125.30949,-124.28619,-124.76851,24992.984,follow,2,0.67156184,?
0,1,0.0,29459.293,-122094.61,-124.58745,-124.58669,-124.58696,24999.996,follow,2,0.66579634,?
0,1,0.0,29459.293,-123868.79,-127.166725,-124.18453,-123.54252,22113.686,follow,2,0.67234415,?
0,1,0.0,29459.293,-122330.875,-122.80302,-122.330986,-122.33122,24997.27,follow,2,0.5198759,?
0,1,0.0,29459.293,-124585.92,-124.96042,-124.95952,-124.96004,24999.992,follow,2,0.66372216,?
0,1,0.0,29459.293,-118548.16,-118.71755,-117.62161,-118.5557,24981.164,follow,2,0.0,?
0,1,0.0,29459.293,-122926.49,-125.18103,-125.17977,-125.180145,24999.998,follow,2,0.65607136,?
0,1,0.0,29459.293,-123337.98,-123.34044,-123.33764,-123.3394,24999.994,follow,2,0.0,?
0,1,0.0,29459.293,-122604.36,-125.25627,-125.23321,-125.233444,24999.754,follow,2,0.65698147,?
0,1,0.0,29459.293,-122968.734,-124.96714,-124.960976,-124.966934,24999.99,follow,2,0.60094965,?
0,1,0.0,29459.293,-125072.34,-125.07416,-125.07348,-125.074,24999.996,follow,2,0.5621116,?
0,1,0.0,29459.293,-124025.984,-127.859276,-124.36469,-125.40187,24985.73,follow,2,0.6571757,?
0,1,0.0,29459.293,-125655.36,-134.02446,-125.034645,-123.584305,-14899.867,follow,2,0.66452295,?
0,1,0.0,29459.293,-125546.75,-125.54677,-125.542,-125.54614,24999.992,follow,2,0.63652116,?
0,1,0.0,29459.293,-123301.89,-125.56101,-125.560135,-125.56091,24999.998,follow,2,0.6399835,?
0,1,0.0,29459.293,-126619.76,-126.94873,-123.95938,-126.623505,24990.334,follow,2,0.47646537,?
0,1,0.0,29459.293,-123260.99,-125.64836,-125.647446,-125.64767,24999.996,follow,2,0.64720464,?
0,1,0.0,29459.293,-129290.12,-129.32741,-129.2262,-129.29204,24997.223,follow,2,0.0,?
0,1,0.0,29459.293,-127349.93,-127.34893,-127.3485,-127.3487,24999.998,follow,2,0.52361554,?
0,1,0.0,29459.293,-123088.22,-125.73017,-125.72931,-125.72956,24999.998,follow,2,0.64347893,?
0,1,0.0,29459.293,-128966.75,-128.97318,-126.86179,-128.97305,24987.463,follow,2,0.0,?
0,1,0.0,29459.293,-125318.11,-128.64317,-125.9416,-125.944336,24997.09,follow,2,0.6393702,?
0,1,0.0,29459.293,-123948.13,-127.82539,-126.006355,-126.34473,24991.193,follow,2,0.6206969,?
0,1,0.0,29459.293,-125224.38,-130.0606,-127.60491,-127.63942,24982.988,follow,2,0.55338514,?
0,1,0.0,29459.293,-125050.28,-128.12315,-124.16942,-126.05641,24987.734,follow,2,0.64278,?
0,1,0.0,29459.293,-129242.3,-129.2534,-129.24101,-129.24284,24999.975,follow,2,0.49951693,?
0,1,0.0,29459.293,-126379.39,-135.50417,-123.8609,-123.584305,18694.5,follow,2,0.66452295,?
0,1,0.0,29459.293,-124441.05,-126.13806,-126.021065,-126.08175,24998.371,follow,2,0.6365819,?
0,1,0.0,29459.293,-128970.36,-128.97253,-128.96738,-128.9716,24999.982,follow,2,0.5275494,?
0,1,0.0,29459.293,-123525.88,-126.30441,-126.30377,-126.30402,24999.996,follow,2,0.6377862,?
0,1,0.0,29459.293,-128773.34,-128.80743,-128.77164,-128.77249,24999.941,follow,2,0.56269974,?
0,1,0.0,29459.293,-128151.15,-128.86433,-127.34354,-128.1457,24926.496,follow,2,0.579695,?
0,1,0.0,29459.293,-124254.68,-126.2766,-126.27575,-126.275925,24999.998,follow,2,0.6377469,?
0,1,0.0,29459.293,-129909.24,-130.78821,-130.35942,-130.43091,24993.365,follow,2,0.5128346,?
0,1,0.0,29459.293,-84655.445,-135.42746,-111.334335,-123.45687,18558.77,follow,2,0.6590811,?
0,1,0.0,29459.293,-124373.93,-126.78348,-126.78315,-126.78341,25000.0,follow,2,0.6175123,?
0,1,0.0,29459.293,-130613.0,-130.63907,-127.914604,-130.63821,24966.762,follow,2,0.5164083,?
0,1,0.0,29459.293,-124199.66,-126.734764,-126.73382,-126.734055,24999.996,follow,2,0.62711096,?
0,1,0.0,29459.293,-131960.86,-131.96094,-131.9598,-131.96057,24999.986,follow,2,0.50115645,?
0,1,0.0,29459.293,-127854.42,-127.98153,-127.980354,-127.98085,24999.996,follow,2,0.59528965,?
0,1,0.0,29459.293,-124986.6,-126.63377,-126.63281,-126.633,24999.998,follow,2,0.6244385,?
0,1,0.0,29459.293,-128346.86,-135.42746,-123.69058,-123.45687,15730.032,follow,2,0.6590811,?
0,1,0.0,29459.293,-125475.66,-128.84503,-127.125206,-127.12744,24998.146,follow,2,0.619455,?
0,1,0.0,29459.293,-127660.61,-128.43245,-128.43147,-128.43175,24999.994,follow,2,0.5907629,?
0,1,0.0,29459.293,-130178.53,-131.2994,-128.59468,-130.17747,24987.508,follow,2,0.55337906,?
0,1,0.0,29459.293,-125897.99,-127.28565,-126.9339,-127.041725,24996.28,follow,2,0.6220452,?
0,1,0.0,29459.293,-130560.57,-130.55927,-130.5587,-130.55898,24999.998,follow,2,0.54588056,?
0,1,0.0,29459.293,-127466.22,-134.12352,-124.46694,-122.804214,19046.17,follow,2,0.65883964,?
0,1,0.0,29459.293,-124870.09,-127.287674,-127.28688,-127.28758,24999.998,follow,2,0.6067098,?
0,1,0.0,29459.293,-131276.06,-131.28287,-130.88809,-131.28123,24992.36,follow,2,0.53010577,?
0,1,0.0,29459.293,-125336.1,-127.763,-127.761765,-122.804214,24045.64,follow,2,0.65883964,?
0,1,0.0,29459.293,-129974.74,-130.76068,-130.75934,-130.75993,24999.994,follow,2,0.5501721,?
0,1,0.0,29459.293,-128692.26,-134.15125,-123.29088,-122.29044,16730.45,follow,2,0.6566663,?
0,1,0.0,29459.293,-124645.74,-127.58211,-127.581314,-127.58152,24999.998,follow,2,0.5983415,?
0,1,0.0,29459.293,-132971.9,-133.04228,-132.9684,-132.96931,24994.238,follow,2,0.5061495,?
0,1,0.0,29459.293,-126665.35,-128.72499,-128.72166,-128.7241,24999.99,follow,2,0.5833762,?
