@relation Duel

@attribute OffDataSize numeric
@attribute DefDataSize numeric
@attribute OffDataValue numeric
@attribute DefDataValue numeric
@attribute AvgAltitude numeric
@attribute MinAltitude numeric
@attribute MaxAltitude numeric
@attribute CurrentAltitude numeric
@attribute FovValue numeric
@attribute LastAction {hunt,retreat,explore_off,explore_def,follow,shoot,idle}
@attribute Life numeric
@attribute ImpactProba numeric
@attribute res {DEFEAT,VICTORY}

@data
5,3,140807.2,85431.016,-246963.0,-247.3861,-246.7588,-246.96094,24996.875,shoot,2,0.6121964,?
5,3,140807.2,85431.016,-248464.88,-248.46303,-248.46204,-248.46242,24999.996,shoot,2,0.5236584,?
5,3,140807.2,85431.016,-249067.3,-255.0,-245.44998,-252.41864,3558.6992,shoot,2,0.0,?
5,3,140807.2,85431.016,-248514.58,-248.5227,-248.48643,-248.51175,24999.81,shoot,2,0.54290515,?
5,3,140807.2,85431.016,-250093.97,-250.09532,-250.09436,-250.09512,24999.996,shoot,2,0.47601345,?
5,3,140807.2,85431.016,-250238.5,-255.0,-250.20384,-251.98497,9496.012,shoot,2,0.0,?
5,3,140807.2,85431.016,-244743.34,-244.99498,-244.10289,-244.7474,24949.438,shoot,2,0.0,?
5,3,140807.2,85431.016,-251221.86,-251.22371,-251.22238,-251.22343,24999.996,shoot,2,0.55128604,?
5,3,140807.2,85431.016,-249184.38,-249.18532,-249.18245,-249.18307,24999.986,shoot,2,0.0,?
5,3,140807.2,85431.016,-251512.5,-251.51099,-251.51036,-251.51083,24999.998,shoot,2,0.0,?
5,3,140807.2,85431.016,-252236.66,-253.64104,-252.07469,-252.23056,24992.455,shoot,2,0.615153,?
5,3,140807.2,85431.016,-253260.9,-253.2608,-253.25644,-251.69019,-59227.586,shoot,2,0.0,?
5,3,140807.2,85431.016,-252112.33,-252.86784,-252.8668,-252.86752,24999.996,shoot,2,0.5259538,?
5,3,140807.2,85431.016,-253610.2,-253.61449,-253.61162,-253.61224,24999.986,shoot,2,0.5608463,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.0,?
5,3,140807.2,85431.016,-254266.62,-254.26949,-254.26816,-254.26921,24999.996,shoot,2,0.54544634,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.48452902,?
5,3,140807.2,85431.016,-254829.12,-254.83185,-254.83089,-254.83165,24999.996,shoot,2,0.45302287,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-251.69019,8377.054,shoot,2,0.0,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.5050223,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.56598246,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.65434504,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.5289791,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.67646164,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.6002666,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.5792728,?
5,3,140807.2,85431.016,-209354.44,-255.0,-244.30035,-251.5343,14678.7705,shoot,2,0.0,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.5769439,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.64759636,?
5,3,140807.2,85431.016,-254745.0,-255.0,-255.0,-251.5343,18149.992,shoot,2,0.0,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.588725,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.71004176,?
5,3,140807.2,85431.016,-255000.0,-255.0,-255.0,-255.0,24999.982,shoot,2,0.6161302,?
