@relation Duel

@attribute OffDataSize numeric
@attribute DefDataSize numeric
@attribute OffDataValue numeric
@attribute DefDataValue numeric
@attribute AvgAltitude numeric
@attribute MinAltitude numeric
@attribute MaxAltitude numeric
@attribute CurrentAltitude numeric
@attribute FovValue numeric
@attribute LastAction {hunt,retreat,explore_off,explore_def,follow,shoot,idle}
@attribute Life numeric
@attribute ImpactProba numeric
@attribute res {DEFEAT,VICTORY}

@data
3,2,86350.03,59917.727,-67273.875,-140.02411,-111.471466,-122.71347,15185.42,follow,2,0.0,DEFEAT
0,1,0.0,27297.746,-63232.812,-135.94397,-110.33849,-118.5288,17133.973,follow,2,0.0,DEFEAT
1,1,25239.879,28372.547,-74290.46,-141.11795,-108.101326,-125.811455,15132.906,follow,2,0.0,DEFEAT
1,1,27304.469,29499.25,-72730.59,-144.24866,-110.36834,-124.155785,16206.205,follow,2,0.0,DEFEAT
0,1,0.0,29860.508,-64737.03,-140.48764,-111.55215,-116.91542,18272.568,follow,2,0.6506125,DEFEAT
1,1,27736.28,28821.621,-72336.07,-141.29898,-108.54182,-121.34003,15938.625,shoot,2,0.0,DEFEAT
0,0,0.0,0.0,-112511.336,-119.64313,-116.27559,-119.44627,24827.295,idle,2,0.51693195,DEFEAT
1,1,28694.283,27561.488,-55579.926,-144.17766,-98.76754,-113.37233,17191.852,shoot,2,0.0,DEFEAT
1,1,24744.068,29574.217,-86962.55,-141.44466,-108.7799,-126.18945,17208.059,shoot,2,0.0,DEFEAT
1,1,27938.193,29823.107,-65493.94,-139.11269,-110.41261,-117.81093,17055.738,follow,2,0.0,DEFEAT
2,2,56278.676,60485.117,-61289.195,-141.25972,-97.78807,-117.83175,13156.464,follow,2,0.0,DEFEAT
0,1,0.0,26986.285,-63750.36,-139.12192,-107.30064,-113.98434,17013.283,explore_off,2,0.0,DEFEAT
3,2,82122.766,57879.68,-62325.395,-142.04279,-102.088936,-118.07995,14794.833,shoot,2,0.0,DEFEAT
2,1,54662.812,28598.084,-65358.76,-142.16417,-108.60909,-120.83866,16431.498,shoot,2,0.0,DEFEAT
1,1,28316.713,29252.379,-56171.58,-139.30757,-100.79351,-111.03312,15593.998,explore_off,2,0.0,DEFEAT
1,1,26725.506,26285.969,-63284.773,-144.53802,-106.40878,-116.29272,17164.906,follow,2,0.0,DEFEAT
1,1,27389.182,29168.402,-46585.8,-142.70012,-108.918045,-107.30547,13622.027,shoot,2,0.0,DEFEAT
1,1,27880.393,29961.514,-68333.42,-146.1497,-111.19994,-120.87519,15359.495,follow,2,0.0,DEFEAT
0,1,0.0,29881.559,-65879.33,-133.13951,-109.51921,-115.19332,19008.787,follow,2,0.0,DEFEAT
1,1,27848.365,27588.586,-56136.41,-139.13963,-106.2491,-115.00482,17365.297,follow,2,0.0,DEFEAT
3,2,81567.08,57046.035,-44657.965,-136.18257,-104.18355,-110.3936,15914.877,shoot,2,0.0,DEFEAT
1,1,28601.107,26575.342,-73794.375,-138.10573,-108.663124,-121.687614,18541.371,shoot,2,0.0,DEFEAT
1,1,28622.154,30378.217,-58117.375,-134.90427,-112.66164,-115.63495,16693.924,follow,2,0.0,DEFEAT
1,1,28057.227,29639.96,-65985.17,-133.8045,-110.56718,-120.52841,19886.3,shoot,2,0.0,DEFEAT
1,1,28550.842,29095.135,-71112.56,-143.41705,-101.93734,-123.09167,15892.303,follow,2,0.7270111,DEFEAT
0,1,0.0,28884.215,-81436.91,-145.61563,-107.40101,-128.55922,18402.197,follow,2,0.6258847,VICTORY
5,3,145544.16,88773.664,-89733.56,-138.35602,-109.21277,-127.48622,18677.516,shoot,4,0.6230807,VICTORY
4,3,110745.06,86865.46,-95876.04,-138.63284,-111.32921,-127.35998,18817.043,follow,4,0.55407566,VICTORY
1,1,27649.328,28190.934,-54396.17,-138.51349,-103.114395,-111.511345,17777.766,follow,2,0.65229136,VICTORY
1,1,26659.578,30017.133,-79102.664,-140.50807,-111.34298,-125.45968,18942.463,follow,6,0.6483184,VICTORY
2,1,57065.812,29723.059,-73091.37,-140.5126,-112.788025,-129.23636,17702.03,follow,10,0.7357188,VICTORY
2,1,53503.133,27690.07,-96277.5,-154.868,-111.11395,-127.86023,16982.371,follow,10,0.5808693,VICTORY
1,1,29043.78,29603.855,-74242.484,-132.89548,-109.40778,-122.28012,19504.996,follow,2,0.65525776,VICTORY
1,1,29416.152,29310.83,-88485.45,-142.35933,-90.65107,-127.91962,17814.312,follow,2,0.6050493,VICTORY
2,2,55245.47,59692.395,-57189.668,-141.41379,-112.03641,-116.28633,15290.091,shoot,2,0.63771576,VICTORY
4,3,110819.3,86245.766,-94050.27,-146.20004,-112.344864,-129.7329,18380.908,follow,4,0.6669622,VICTORY
3,2,87569.125,55837.15,-81701.51,-140.1827,-109.055305,-123.71104,18200.72,shoot,4,0.65493524,VICTORY
5,3,145085.55,88855.6,-84618.12,-145.30907,-120.87661,-127.65632,17736.826,follow,2,0.6656402,VICTORY
2,1,58591.598,28533.893,-99889.74,-146.73671,-117.44707,-137.03838,18774.86,follow,2,0.6513474,VICTORY
