@relation Duel

@attribute OffDataSize numeric
@attribute DefDataSize numeric
@attribute OffDataValue numeric
@attribute DefDataValue numeric
@attribute AvgAltitude numeric
@attribute MinAltitude numeric
@attribute MaxAltitude numeric
@attribute CurrentAltitude numeric
@attribute FovValue numeric
@attribute LastAction {hunt,retreat,explore_off,explore_def,follow,shoot,idle}
@attribute Life numeric
@attribute ImpactProba numeric
@attribute res {DEFEAT,VICTORY}

@data
7,4,193322.42,112528.16,-245780.22,-245.7784,-245.7774,-245.77779,24999.996,follow,6,0.0,?
7,4,193322.42,112528.16,-247653.14,-247.6544,-247.65154,-247.65216,24999.986,follow,6,0.0,?
7,4,193322.42,112528.16,-246797.7,-246.80182,-246.79865,-252.26541,-35736.14,follow,6,0.0,?
7,4,193322.42,112528.16,-249097.1,-249.09982,-249.09814,-249.09947,24999.994,follow,6,0.0,?
7,4,193322.42,112528.16,-249910.28,-249.91385,-249.91118,-249.91322,24999.988,follow,6,0.0,?
7,4,193322.42,112528.16,-250831.83,-255.0,-250.34044,-252.11778,-32496.016,follow,6,0.0,?
7,4,193322.42,112528.16,-251874.95,-251.87674,-251.87387,-251.8745,24999.986,follow,6,0.0,?
7,4,193322.42,112528.16,-252295.28,-252.80464,-252.80345,-252.80403,24999.994,follow,6,0.0,?
7,4,193322.42,112528.16,-253453.33,-253.4551,-253.4533,-253.45444,24999.988,follow,6,0.0,?
7,4,193322.42,112528.16,-254738.39,-254.7425,-254.74014,-254.74185,24999.988,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5096529,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.47016704,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.7226155,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-252.11778,16744.51,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.6134999,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.6369919,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.52303714,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.502207,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.4836777,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5769056,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.576155,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.4978216,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.62702984,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5238735,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.54397756,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.60558957,?
7,4,193322.42,112528.16,-206841.44,-255.0,-244.53207,-252.23921,14519.453,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.59018654,?
7,4,193322.42,112528.16,-143852.53,-255.0,-244.3047,-252.50826,16449.234,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5204654,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.59780836,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5196256,?
7,4,193322.42,112528.16,-254745.0,-255.0,-255.0,-252.91618,20689.521,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5656463,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.51421136,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.57785404,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5353805,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5356687,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.57361084,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5230744,?
7,4,193322.42,112528.16,-253239.27,-255.0,-247.72089,-252.91618,16846.236,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.55208695,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.53078294,?
7,4,193322.42,112528.16,-86190.0,-255.0,-255.0,-252.99097,24098.896,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-252.56557,19827.195,follow,6,0.0,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5377682,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.548414,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5260874,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5467893,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.53728503,?
7,4,193322.42,112528.16,-255000.0,-255.0,-255.0,-255.0,24999.982,follow,6,0.5361439,?
